2018-11-28 23:22:41 Jepsen starting etcd :--log-output :stderr :--name ec2-52-90-218-187.compute-1.amazonaws.com :--listen-peer-urls http://ec2-52-90-218-187.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-52-90-218-187.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-52-90-218-187.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-52-90-218-187.compute-1.amazonaws.com:2380 :--initial-cluster ec2-54-236-10-223.compute-1.amazonaws.com=http://ec2-54-236-10-223.compute-1.amazonaws.com:2380,ec2-100-24-16-184.compute-1.amazonaws.com=http://ec2-100-24-16-184.compute-1.amazonaws.com:2380,ec2-54-204-131-219.compute-1.amazonaws.com=http://ec2-54-204-131-219.compute-1.amazonaws.com:2380,ec2-52-90-218-187.compute-1.amazonaws.com=http://ec2-52-90-218-187.compute-1.amazonaws.com:2380,ec2-34-229-59-126.compute-1.amazonaws.com=http://ec2-34-229-59-126.compute-1.amazonaws.com:2380
2018-11-28 23:22:41.775763 I | etcdmain: etcd Version: 3.1.5
2018-11-28 23:22:45.790629 I | etcdserver: data dir = ec2-52-90-218-187.compute-1.amazonaws.com.etcd
2018-11-28 23:22:45.790645 I | etcdserver: member dir = ec2-52-90-218-187.compute-1.amazonaws.com.etcd/member
2018-11-28 23:22:45.790650 I | etcdserver: heartbeat = 100ms
2018-11-28 23:22:45.790655 I | etcdserver: election = 1000ms
2018-11-28 23:22:45.790661 I | etcdserver: snapshot count = 10000
2018-11-28 23:22:45.790674 I | etcdserver: advertise client URLs = http://ec2-52-90-218-187.compute-1.amazonaws.com:2379
2018-11-28 23:22:45.790681 I | etcdserver: initial advertise peer URLs = http://ec2-52-90-218-187.compute-1.amazonaws.com:2380
2018-11-28 23:22:45.790713 I | etcdserver: initial cluster = ec2-100-24-16-184.compute-1.amazonaws.com=http://ec2-100-24-16-184.compute-1.amazonaws.com:2380,ec2-34-229-59-126.compute-1.amazonaws.com=http://ec2-34-229-59-126.compute-1.amazonaws.com:2380,ec2-52-90-218-187.compute-1.amazonaws.com=http://ec2-52-90-218-187.compute-1.amazonaws.com:2380,ec2-54-204-131-219.compute-1.amazonaws.com=http://ec2-54-204-131-219.compute-1.amazonaws.com:2380,ec2-54-236-10-223.compute-1.amazonaws.com=http://ec2-54-236-10-223.compute-1.amazonaws.com:2380
2018-11-28 23:22:45.795267 I | etcdserver: starting member e7c1c60b864ae98b in cluster 38957ac2ed0cbd2c
2018-11-28 23:22:45.795297 I | raft: e7c1c60b864ae98b became follower at term 0
2018-11-28 23:22:45.795309 I | raft: newRaft e7c1c60b864ae98b [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-28 23:22:45.795315 I | raft: e7c1c60b864ae98b became follower at term 1
2018-11-28 23:22:45.807421 I | rafthttp: starting peer 10bf218ab4a912ed...
2018-11-28 23:22:45.807470 I | rafthttp: started HTTP pipelining with peer 10bf218ab4a912ed
2018-11-28 23:22:45.808829 I | rafthttp: started streaming with peer 10bf218ab4a912ed (writer)
2018-11-28 23:22:45.812153 I | rafthttp: started streaming with peer 10bf218ab4a912ed (writer)
2018-11-28 23:22:45.812181 I | rafthttp: started peer 10bf218ab4a912ed
2018-11-28 23:22:45.812222 I | rafthttp: started streaming with peer 10bf218ab4a912ed (stream MsgApp v2 reader)
2018-11-28 23:22:45.812255 I | rafthttp: started streaming with peer 10bf218ab4a912ed (stream Message reader)
2018-11-28 23:22:45.812386 I | rafthttp: added peer 10bf218ab4a912ed
2018-11-28 23:22:45.812411 I | rafthttp: starting peer 8893f9e0ef4f611f...
2018-11-28 23:22:45.812458 I | rafthttp: started HTTP pipelining with peer 8893f9e0ef4f611f
2018-11-28 23:22:45.816294 I | rafthttp: started peer 8893f9e0ef4f611f
2018-11-28 23:22:45.816321 I | rafthttp: added peer 8893f9e0ef4f611f
2018-11-28 23:22:45.816338 I | rafthttp: starting peer e119ce2abc051435...
2018-11-28 23:22:45.816382 I | rafthttp: started HTTP pipelining with peer e119ce2abc051435
2018-11-28 23:22:45.817802 I | rafthttp: started streaming with peer 8893f9e0ef4f611f (writer)
2018-11-28 23:22:45.817819 I | rafthttp: started streaming with peer 8893f9e0ef4f611f (stream MsgApp v2 reader)
2018-11-28 23:22:45.817871 I | rafthttp: started streaming with peer e119ce2abc051435 (writer)
2018-11-28 23:22:45.817894 I | rafthttp: started peer e119ce2abc051435
2018-11-28 23:22:45.817905 I | rafthttp: added peer e119ce2abc051435
2018-11-28 23:22:45.817917 I | rafthttp: starting peer f6f0c3a0ba455ab3...
2018-11-28 23:22:45.817928 I | rafthttp: started HTTP pipelining with peer f6f0c3a0ba455ab3
2018-11-28 23:22:45.818184 I | rafthttp: started streaming with peer 8893f9e0ef4f611f (stream Message reader)
2018-11-28 23:22:45.819899 I | rafthttp: started streaming with peer f6f0c3a0ba455ab3 (writer)
2018-11-28 23:22:45.820650 I | rafthttp: started streaming with peer 8893f9e0ef4f611f (writer)
2018-11-28 23:22:45.821192 I | rafthttp: started peer f6f0c3a0ba455ab3
2018-11-28 23:22:45.821214 I | rafthttp: added peer f6f0c3a0ba455ab3
2018-11-28 23:22:45.821230 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-28 23:22:45.821516 I | rafthttp: started streaming with peer f6f0c3a0ba455ab3 (writer)
2018-11-28 23:22:45.821621 I | rafthttp: started streaming with peer f6f0c3a0ba455ab3 (stream MsgApp v2 reader)
2018-11-28 23:22:45.821841 I | rafthttp: started streaming with peer f6f0c3a0ba455ab3 (stream Message reader)
2018-11-28 23:22:45.822643 I | rafthttp: peer f6f0c3a0ba455ab3 became active
2018-11-28 23:22:45.822662 I | rafthttp: established a TCP streaming connection with peer f6f0c3a0ba455ab3 (stream Message writer)
2018-11-28 23:22:45.823884 I | rafthttp: peer e119ce2abc051435 became active
2018-11-28 23:22:45.823924 I | rafthttp: established a TCP streaming connection with peer e119ce2abc051435 (stream MsgApp v2 writer)
2018-11-28 23:22:45.824175 I | rafthttp: established a TCP streaming connection with peer f6f0c3a0ba455ab3 (stream MsgApp v2 writer)
2018-11-28 23:22:45.824323 I | etcdserver/membership: added member 10bf218ab4a912ed [http://ec2-54-204-131-219.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-28 23:22:45.824445 I | etcdserver/membership: added member 8893f9e0ef4f611f [http://ec2-34-229-59-126.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-28 23:22:45.824563 I | etcdserver/membership: added member e119ce2abc051435 [http://ec2-100-24-16-184.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-28 23:22:45.824665 I | etcdserver/membership: added member e7c1c60b864ae98b [http://ec2-52-90-218-187.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-28 23:22:45.824789 I | etcdserver/membership: added member f6f0c3a0ba455ab3 [http://ec2-54-236-10-223.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-28 23:22:45.825067 I | rafthttp: peer 10bf218ab4a912ed became active
2018-11-28 23:22:45.825083 I | rafthttp: established a TCP streaming connection with peer 10bf218ab4a912ed (stream MsgApp v2 writer)
2018-11-28 23:22:45.825212 I | rafthttp: established a TCP streaming connection with peer 10bf218ab4a912ed (stream Message writer)
2018-11-28 23:22:45.825274 I | rafthttp: established a TCP streaming connection with peer 10bf218ab4a912ed (stream Message reader)
2018-11-28 23:22:45.825322 I | rafthttp: established a TCP streaming connection with peer 10bf218ab4a912ed (stream MsgApp v2 reader)
2018-11-28 23:22:45.825491 I | rafthttp: started streaming with peer e119ce2abc051435 (writer)
2018-11-28 23:22:45.825508 I | rafthttp: established a TCP streaming connection with peer e119ce2abc051435 (stream Message writer)
2018-11-28 23:22:45.825551 I | rafthttp: started streaming with peer e119ce2abc051435 (stream Message reader)
2018-11-28 23:22:45.825809 I | rafthttp: started streaming with peer e119ce2abc051435 (stream MsgApp v2 reader)
2018-11-28 23:22:45.826773 I | rafthttp: established a TCP streaming connection with peer f6f0c3a0ba455ab3 (stream MsgApp v2 reader)
2018-11-28 23:22:45.826958 I | rafthttp: established a TCP streaming connection with peer f6f0c3a0ba455ab3 (stream Message reader)
2018-11-28 23:22:45.826998 I | rafthttp: established a TCP streaming connection with peer e119ce2abc051435 (stream MsgApp v2 reader)
2018-11-28 23:22:45.827128 I | rafthttp: established a TCP streaming connection with peer e119ce2abc051435 (stream Message reader)
2018-11-28 23:22:45.829945 I | rafthttp: peer 8893f9e0ef4f611f became active
2018-11-28 23:22:45.829960 I | rafthttp: established a TCP streaming connection with peer 8893f9e0ef4f611f (stream Message reader)
2018-11-28 23:22:45.831311 I | rafthttp: established a TCP streaming connection with peer 8893f9e0ef4f611f (stream MsgApp v2 reader)
2018-11-28 23:22:45.835154 I | rafthttp: established a TCP streaming connection with peer 8893f9e0ef4f611f (stream MsgApp v2 writer)
2018-11-28 23:22:45.835265 I | rafthttp: established a TCP streaming connection with peer 8893f9e0ef4f611f (stream Message writer)
2018-11-28 23:22:45.891415 I | raft: e7c1c60b864ae98b [term: 1] received a MsgVote message with higher term from e119ce2abc051435 [term: 2]
2018-11-28 23:22:45.891452 I | raft: e7c1c60b864ae98b became follower at term 2
2018-11-28 23:22:45.891465 I | raft: e7c1c60b864ae98b [logterm: 1, index: 5, vote: 0] cast MsgVote for e119ce2abc051435 [logterm: 1, index: 5] at term 2
2018-11-28 23:22:45.893770 I | raft: raft.node: e7c1c60b864ae98b elected leader e119ce2abc051435 at term 2
2018-11-28 23:22:45.897975 I | etcdserver: published {Name:ec2-52-90-218-187.compute-1.amazonaws.com ClientURLs:[http://ec2-52-90-218-187.compute-1.amazonaws.com:2379]} to cluster 38957ac2ed0cbd2c
2018-11-28 23:22:45.898055 E | etcdmain: forgot to set Type=notify in systemd service file?
2018-11-28 23:22:45.898066 I | embed: ready to serve client requests
2018-11-28 23:22:45.898312 N | embed: serving insecure client requests on 172.31.29.248:2379, this is strongly discouraged!
2018-11-28 23:22:45.908641 N | etcdserver/membership: set the initial cluster version to 3.1
2018-11-28 23:22:45.908685 I | etcdserver/api: enabled capabilities for version 3.1
2018-11-28 23:22:50.812353 W | rafthttp: the clock difference against peer 10bf218ab4a912ed is too high [1.240611705s > 1s]
