2018-11-29 01:13:07 Jepsen starting etcd :--log-output :stderr :--name ec2-54-204-131-219.compute-1.amazonaws.com :--listen-peer-urls http://ec2-54-204-131-219.compute-1.amazonaws.com:2380 :--listen-client-urls http://ec2-54-204-131-219.compute-1.amazonaws.com:2379 :--advertise-client-urls http://ec2-54-204-131-219.compute-1.amazonaws.com:2379 :--initial-cluster-state :new :--initial-advertise-peer-urls http://ec2-54-204-131-219.compute-1.amazonaws.com:2380 :--initial-cluster ec2-54-236-10-223.compute-1.amazonaws.com=http://ec2-54-236-10-223.compute-1.amazonaws.com:2380,ec2-100-24-16-184.compute-1.amazonaws.com=http://ec2-100-24-16-184.compute-1.amazonaws.com:2380,ec2-54-204-131-219.compute-1.amazonaws.com=http://ec2-54-204-131-219.compute-1.amazonaws.com:2380,ec2-52-90-218-187.compute-1.amazonaws.com=http://ec2-52-90-218-187.compute-1.amazonaws.com:2380,ec2-34-229-59-126.compute-1.amazonaws.com=http://ec2-34-229-59-126.compute-1.amazonaws.com:2380
2018-11-29 01:13:07.415254 I | etcdmain: etcd Version: 3.1.5
2018-11-29 01:13:11.424637 I | etcdserver: member dir = ec2-54-204-131-219.compute-1.amazonaws.com.etcd/member
2018-11-29 01:13:11.424643 I | etcdserver: heartbeat = 100ms
2018-11-29 01:13:11.424649 I | etcdserver: election = 1000ms
2018-11-29 01:13:11.424654 I | etcdserver: snapshot count = 10000
2018-11-29 01:13:11.424668 I | etcdserver: advertise client URLs = http://ec2-54-204-131-219.compute-1.amazonaws.com:2379
2018-11-29 01:13:11.424676 I | etcdserver: initial advertise peer URLs = http://ec2-54-204-131-219.compute-1.amazonaws.com:2380
2018-11-29 01:13:11.424699 I | etcdserver: initial cluster = ec2-100-24-16-184.compute-1.amazonaws.com=http://ec2-100-24-16-184.compute-1.amazonaws.com:2380,ec2-34-229-59-126.compute-1.amazonaws.com=http://ec2-34-229-59-126.compute-1.amazonaws.com:2380,ec2-52-90-218-187.compute-1.amazonaws.com=http://ec2-52-90-218-187.compute-1.amazonaws.com:2380,ec2-54-204-131-219.compute-1.amazonaws.com=http://ec2-54-204-131-219.compute-1.amazonaws.com:2380,ec2-54-236-10-223.compute-1.amazonaws.com=http://ec2-54-236-10-223.compute-1.amazonaws.com:2380
2018-11-29 01:13:11.431145 I | etcdserver: starting member 10bf218ab4a912ed in cluster 38957ac2ed0cbd2c
2018-11-29 01:13:11.431176 I | raft: 10bf218ab4a912ed became follower at term 0
2018-11-29 01:13:11.431188 I | raft: newRaft 10bf218ab4a912ed [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2018-11-29 01:13:11.431195 I | raft: 10bf218ab4a912ed became follower at term 1
2018-11-29 01:13:11.443314 I | rafthttp: starting peer 8893f9e0ef4f611f...
2018-11-29 01:13:11.443355 I | rafthttp: started HTTP pipelining with peer 8893f9e0ef4f611f
2018-11-29 01:13:11.445995 I | rafthttp: started streaming with peer 8893f9e0ef4f611f (writer)
2018-11-29 01:13:11.448465 I | rafthttp: started streaming with peer 8893f9e0ef4f611f (writer)
2018-11-29 01:13:11.448500 I | rafthttp: started peer 8893f9e0ef4f611f
2018-11-29 01:13:11.448531 I | rafthttp: started streaming with peer 8893f9e0ef4f611f (stream MsgApp v2 reader)
2018-11-29 01:13:11.448549 I | rafthttp: added peer 8893f9e0ef4f611f
2018-11-29 01:13:11.448570 I | rafthttp: starting peer e119ce2abc051435...
2018-11-29 01:13:11.448592 I | rafthttp: started HTTP pipelining with peer e119ce2abc051435
2018-11-29 01:13:11.448705 I | rafthttp: started streaming with peer 8893f9e0ef4f611f (stream Message reader)
2018-11-29 01:13:11.450113 I | rafthttp: started streaming with peer e119ce2abc051435 (writer)
2018-11-29 01:13:11.450280 I | rafthttp: started streaming with peer e119ce2abc051435 (writer)
2018-11-29 01:13:11.451500 I | rafthttp: started peer e119ce2abc051435
2018-11-29 01:13:11.451545 I | rafthttp: added peer e119ce2abc051435
2018-11-29 01:13:11.451564 I | rafthttp: starting peer e7c1c60b864ae98b...
2018-11-29 01:13:11.452326 I | rafthttp: started HTTP pipelining with peer e7c1c60b864ae98b
2018-11-29 01:13:11.453691 I | rafthttp: started peer e7c1c60b864ae98b
2018-11-29 01:13:11.453717 I | rafthttp: added peer e7c1c60b864ae98b
2018-11-29 01:13:11.453734 I | rafthttp: starting peer f6f0c3a0ba455ab3...
2018-11-29 01:13:11.453757 I | rafthttp: started HTTP pipelining with peer f6f0c3a0ba455ab3
2018-11-29 01:13:11.455076 I | rafthttp: started streaming with peer e119ce2abc051435 (stream MsgApp v2 reader)
2018-11-29 01:13:11.455761 I | rafthttp: started streaming with peer e119ce2abc051435 (stream Message reader)
2018-11-29 01:13:11.455937 I | rafthttp: started streaming with peer e7c1c60b864ae98b (writer)
2018-11-29 01:13:11.455994 I | rafthttp: started streaming with peer e7c1c60b864ae98b (writer)
2018-11-29 01:13:11.456026 I | rafthttp: started streaming with peer e7c1c60b864ae98b (stream MsgApp v2 reader)
2018-11-29 01:13:11.456244 I | rafthttp: started streaming with peer e7c1c60b864ae98b (stream Message reader)
2018-11-29 01:13:11.456392 I | rafthttp: started streaming with peer f6f0c3a0ba455ab3 (writer)
2018-11-29 01:13:11.457761 I | rafthttp: started peer f6f0c3a0ba455ab3
2018-11-29 01:13:11.457790 I | rafthttp: added peer f6f0c3a0ba455ab3
2018-11-29 01:13:11.457807 I | etcdserver: starting server... [version: 3.1.5, cluster version: to_be_decided]
2018-11-29 01:13:11.458085 I | rafthttp: started streaming with peer f6f0c3a0ba455ab3 (writer)
2018-11-29 01:13:11.458123 I | rafthttp: started streaming with peer f6f0c3a0ba455ab3 (stream MsgApp v2 reader)
2018-11-29 01:13:11.458327 I | rafthttp: started streaming with peer f6f0c3a0ba455ab3 (stream Message reader)
2018-11-29 01:13:11.461541 I | rafthttp: peer e119ce2abc051435 became active
2018-11-29 01:13:11.461566 I | rafthttp: established a TCP streaming connection with peer e119ce2abc051435 (stream MsgApp v2 writer)
2018-11-29 01:13:11.463144 I | rafthttp: peer f6f0c3a0ba455ab3 became active
2018-11-29 01:13:11.463165 I | rafthttp: established a TCP streaming connection with peer f6f0c3a0ba455ab3 (stream Message writer)
2018-11-29 01:13:11.463291 I | rafthttp: peer e7c1c60b864ae98b became active
2018-11-29 01:13:11.463308 I | rafthttp: established a TCP streaming connection with peer e7c1c60b864ae98b (stream Message writer)
2018-11-29 01:13:11.463477 I | rafthttp: established a TCP streaming connection with peer f6f0c3a0ba455ab3 (stream MsgApp v2 writer)
2018-11-29 01:13:11.463807 I | rafthttp: peer 8893f9e0ef4f611f became active
2018-11-29 01:13:11.463825 I | rafthttp: established a TCP streaming connection with peer 8893f9e0ef4f611f (stream MsgApp v2 writer)
2018-11-29 01:13:11.464007 I | rafthttp: established a TCP streaming connection with peer e119ce2abc051435 (stream Message writer)
2018-11-29 01:13:11.464153 I | etcdserver/membership: added member 10bf218ab4a912ed [http://ec2-54-204-131-219.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-29 01:13:11.464259 I | etcdserver/membership: added member 8893f9e0ef4f611f [http://ec2-34-229-59-126.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-29 01:13:11.464368 I | etcdserver/membership: added member e119ce2abc051435 [http://ec2-100-24-16-184.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-29 01:13:11.464470 I | etcdserver/membership: added member e7c1c60b864ae98b [http://ec2-52-90-218-187.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-29 01:13:11.464576 I | etcdserver/membership: added member f6f0c3a0ba455ab3 [http://ec2-54-236-10-223.compute-1.amazonaws.com:2380] to cluster 38957ac2ed0cbd2c
2018-11-29 01:13:11.464631 I | rafthttp: established a TCP streaming connection with peer e7c1c60b864ae98b (stream MsgApp v2 writer)
2018-11-29 01:13:11.464763 I | rafthttp: established a TCP streaming connection with peer 8893f9e0ef4f611f (stream Message writer)
2018-11-29 01:13:11.466017 I | rafthttp: established a TCP streaming connection with peer e119ce2abc051435 (stream MsgApp v2 reader)
2018-11-29 01:13:11.466214 I | rafthttp: established a TCP streaming connection with peer e119ce2abc051435 (stream Message reader)
2018-11-29 01:13:11.466585 I | rafthttp: established a TCP streaming connection with peer f6f0c3a0ba455ab3 (stream Message reader)
2018-11-29 01:13:11.466633 I | rafthttp: established a TCP streaming connection with peer f6f0c3a0ba455ab3 (stream MsgApp v2 reader)
2018-11-29 01:13:11.467157 I | rafthttp: established a TCP streaming connection with peer e7c1c60b864ae98b (stream MsgApp v2 reader)
2018-11-29 01:13:11.467263 I | rafthttp: established a TCP streaming connection with peer 8893f9e0ef4f611f (stream Message reader)
2018-11-29 01:13:11.467368 I | rafthttp: established a TCP streaming connection with peer e7c1c60b864ae98b (stream Message reader)
2018-11-29 01:13:11.467687 I | rafthttp: established a TCP streaming connection with peer 8893f9e0ef4f611f (stream MsgApp v2 reader)
2018-11-29 01:13:11.629606 I | raft: 10bf218ab4a912ed [term: 1] received a MsgVote message with higher term from f6f0c3a0ba455ab3 [term: 2]
2018-11-29 01:13:11.629650 I | raft: 10bf218ab4a912ed became follower at term 2
2018-11-29 01:13:11.629662 I | raft: 10bf218ab4a912ed [logterm: 1, index: 5, vote: 0] cast MsgVote for f6f0c3a0ba455ab3 [logterm: 1, index: 5] at term 2
2018-11-29 01:13:11.631156 I | raft: raft.node: 10bf218ab4a912ed elected leader f6f0c3a0ba455ab3 at term 2
2018-11-29 01:13:11.635196 I | etcdserver: published {Name:ec2-54-204-131-219.compute-1.amazonaws.com ClientURLs:[http://ec2-54-204-131-219.compute-1.amazonaws.com:2379]} to cluster 38957ac2ed0cbd2c
2018-11-29 01:13:11.635244 I | embed: ready to serve client requests
2018-11-29 01:13:11.635290 E | etcdmain: forgot to set Type=notify in systemd service file?
2018-11-29 01:13:11.635536 N | embed: serving insecure client requests on 172.31.29.222:2379, this is strongly discouraged!
2018-11-29 01:13:11.643673 N | etcdserver/membership: set the initial cluster version to 3.1
2018-11-29 01:13:11.643728 I | etcdserver/api: enabled capabilities for version 3.1
